Receptor,PathFeatures
6.0,"['8168444000000', '16816444000000', '8168443000000']"
2.0,"['866444011011', '666444111112', '666444112121', '666444120210', '667444203101', '676444033011', '766444333111', '667443333111', '676433334111', '766333344111', '668333440110']"
1.0,"['766333011011', '667333110110', '676334102101', '766344022011', '666443220110', '668433200100']"
4.0,"['866334011012', '666344112122', '667443122221']"
1.0,"['866334000000', '666344000000', '666444000000', '666444000000', '667443000000', '676433000000', '768333000000']"
1.0,"['767333000000', '676334000000', '766343001001', '667433011011', '676333111111', '766334110110', '667343100100', '676433000000', '768333000000']"
2.0,"['766443011012', '666433111123', '666333111232', '666333111322', '666333112221', '666333122211', '666333223111', '666333233111', '668333330110']"
2.0,"['766344011011', '666444110110', '668444100100']"
4.0,"['7166443001001', '1666433011012', '667333112121']"
6.0,"['766444000000', '666444000000', '667444000000', '6716444000000', '7168443000000']"
1.0,"['866444011011', '666444111113', '666444111134', '666443110340', '668433100400']"
1.0,"['766344011011', '666443110110', '667433100100', '676334000000', '766343000000', '668433000000']"
1.0,"['766334001001', '666344011011', '667443110110', '676433100100', '766334000000', '667343000000', '676433000000', '768333000000']"
1.0,"['766344011021', '666443110210', '668433100100']"
4.0,"['766333000000', '667333001001', '676334011011', '766344111111', '666444111111', '667444111111']"
2.0,"['766444111111', '667444111111', '676444110110', '766444100100', '668444000000']"
4.0,"['866444000000', '667444001001', '676444011011', '766444111111', '666444111111', '667444111111']"
1.0,"['766344000000', '666443000000', '668433000000']"
1.0,"['7167444000000', '1676444000000', '766444000000', '666443000000', '668433000000']"
6.0,"['866444011021', '6616444110210', '6168443100100']"
1.0,"['866334000000', '666344000000', '666443000000', '668433000000']"
6.0,"['776333000000', '7616334000000', '6168343000000']"
3.0,"['868444011021', '686444111212', '866444112122', '668444122221']"
2.0,"['866444011012', '666444111122', '666444111222', '668444110220']"
3.0,"['866444011011', '666444111111', '666444111111', '668444110110']"
6.0,"['766333011011', '666333110110', '667333100100', '676334002001', '766344022011', '667443220110', '676433200100', '766333003001', '666333033011', '667333330110', '6716334300100', '7168343000000']"
4.0,"['766333111111', '666334111111', '666344110110', '667443102101', '676433022011', '766334222113', '666344223133', '666444233333', '666443334331', '667433344311', '676334440110', '766344405101', '666443055011', '666433555111', '667333555111']"
0.0,"['776333011011', '7616334110110', '6166344100100', '1666443000000', '666434002001', '666343022011', '668433220110']"
1.0,"['766333011011', '666333111111', '666333111111', '668333110110', '686333102101', '866333022011', '668333220110', '686333203101', '866333033011', '666333333111', '666333333111', '667333330110', '676333300100', '768333000000']"
3.0,"['766334111221', '666344111212', '666443111122', '668433110220']"
1.0,"['766334000000', '666344001001', '666443011011', '667433111111', '676334112111', '766343120110', '668433200100']"
2.0,"['866444000000', '6616444000000', '6166444000000', '1666444000000', '668444000000']"
1.0,"['866444000000', '666444000000', '667443001001', '676433011011', '766333110110', '668333100100']"
0.0,"['866444011033', '666443112331', '668433120310']"
2.0,"['866444001001', '666444011012', '666444112121', '668444120210']"
3.0,"['766334110110', '666344100100', '668443000000', '686433002001', '866333022011', '668333220110']"
4.0,"['866444000000', '667444001001']"
4.0,"['766334000000', '666344000000', '666443001001', '667433011011']"
1.0,"['766334110110', '666344100100', '666443000000', '667433000000', '676334000000', '766343000000', '668433000000']"
1.0,"['766443000000', '666433000000', '668333000000']"
4.0,"['866444001001', '668444011011', '686444111111', '867443112111', '676433122112', '767333223121']"
4.0,"['767333000000', '676333001001', '767333011011']"
0.0,"['866444011011', '666444111111', '666443111112', '666433112121', '668333120210']"
0.0,"['867444011011', '676444111111', '766443111111', '668433110110']"
3.0,"['766334000000', '666344001001', '666444011011', '668444110110']"
5.0,"['866334000000', '667344000000']"
3.0,"['767333000000', '6715335000000', '7158354000000']"
5.0,"['876433001001', '766333011011', '666333111112', '666334112121', '666343122212', '666433222122', '666333222222', '666334222221', '666343222212', '666433223121', '666333233211', '667333330110']"
0.0,"['866443000000', '666434000000', '667344000000', '677443001001', '776433011011', '768333110110']"
2.0,"['866333011011', '666334110110', '666343102101', '666434022011', '668344220110']"
6.0,"['866443001001', '666433011011', '667333110110', '6716334100100', '7168343000000']"
1.0,"['766334110110', '666343100100', '668433000000']"
1.0,"['766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '768333000000']"
3.0,"['866444011012', '666444112121', '666444123211', '668444233111']"
2.0,"['866444001001', '668444011011', '686444111111', '866444112111', '666444122112', '666444223121', '668444230210']"
1.0,"['766334000000', '666344000000', '667443000000', '676433000000', '768333000000']"
3.0,"['867443011012', '676433111122', '767333112221', '676334120210', '766344200100', '668444000000']"
